exp	round_num	agentid	currname	saidbefore	heardbefore	denovo	saidsofar	heardsofar
CB2015-55	21	301	julia	1	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna', 'julia', 'julia', 'sarah', 'sarah', 'sarah', 'julia', 'sarah', 'sarah', 'sarah', 'sarah', 'lisa']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia', 'lisa', 'sarah', 'sarah', 'sarah', 'lisa', 'sarah', 'lisa', 'lisa', 'sarah', 'julia', 'lisa']
CB2015-55	22	301	lisa	1	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna', 'julia', 'julia', 'sarah', 'sarah', 'sarah', 'julia', 'sarah', 'sarah', 'sarah', 'sarah', 'lisa', 'julia']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia', 'lisa', 'sarah', 'sarah', 'sarah', 'lisa', 'sarah', 'lisa', 'lisa', 'sarah', 'julia', 'lisa', 'lisa']
CB2015-55	23	301	sarah	1	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna', 'julia', 'julia', 'sarah', 'sarah', 'sarah', 'julia', 'sarah', 'sarah', 'sarah', 'sarah', 'lisa', 'julia', 'lisa']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia', 'lisa', 'sarah', 'sarah', 'sarah', 'lisa', 'sarah', 'lisa', 'lisa', 'sarah', 'julia', 'lisa', 'lisa', 'sarah']
CB2015-55	25	301	na	1	0	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna', 'julia', 'julia', 'sarah', 'sarah', 'sarah', 'julia', 'sarah', 'sarah', 'sarah', 'sarah', 'lisa', 'julia', 'lisa', 'sarah', 'sarah']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia', 'lisa', 'sarah', 'sarah', 'sarah', 'lisa', 'sarah', 'lisa', 'lisa', 'sarah', 'julia', 'lisa', 'lisa', 'sarah', 'sarah', 'mary']
CB2015-55	1	289	emily	0	0	1	['katie']	['na']
CB2015-55	2	289	sarah	0	1	0	['katie', 'emily']	['na', 'sarah']
CB2015-55	3	289	michelle	0	0	1	['katie', 'emily', 'sarah']	['na', 'sarah', 'jennifer']
CB2015-55	4	289	sarah	1	1	0	['katie', 'emily', 'sarah', 'michelle']	['na', 'sarah', 'jennifer', 'sarah']
CB2015-55	6	299	jane	0	1	0	['jennifer', 'jennifer', 'jennifer', 'jennifer', 'jennifer', 'jennifer']	['oahsen', 'jane', 'min', 'julie', 'nicole', 'jane']
CB2015-55	1	298	ktee	0	0	1	['oahsen']	['jennifer']
CB2015-55	2	298	lorette	0	0	1	['oahsen', 'ktee']	['jennifer', 'jane']
CB2015-55	3	298	nicole	0	0	1	['oahsen', 'ktee', 'lorette']	['jennifer', 'jane', 'julia']
CB2015-55	8	298	lorette	1	0	0	['oahsen', 'ktee', 'lorette', 'nicole', 'nicole', 'nicole', 'nicole', 'nicole']	['jennifer', 'jane', 'julia', 'jennifer', 'julia', 'julia', 'lisa', 'julia']
CB2015-55	9	298	nicole	1	0	0	['oahsen', 'ktee', 'lorette', 'nicole', 'nicole', 'nicole', 'nicole', 'nicole', 'lorette']	['jennifer', 'jane', 'julia', 'jennifer', 'julia', 'julia', 'lisa', 'julia', 'jane']
CB2015-55	10	298	lorette	1	0	0	['oahsen', 'ktee', 'lorette', 'nicole', 'nicole', 'nicole', 'nicole', 'nicole', 'lorette', 'nicole']	['jennifer', 'jane', 'julia', 'jennifer', 'julia', 'julia', 'lisa', 'julia', 'jane', 'jane']
CB2015-55	11	298	julia	0	1	0	['oahsen', 'ktee', 'lorette', 'nicole', 'nicole', 'nicole', 'nicole', 'nicole', 'lorette', 'nicole', 'lorette']	['jennifer', 'jane', 'julia', 'jennifer', 'julia', 'julia', 'lisa', 'julia', 'jane', 'jane', 'julia']
CB2015-55	13	298	sophia	0	1	0	['oahsen', 'ktee', 'lorette', 'nicole', 'nicole', 'nicole', 'nicole', 'nicole', 'lorette', 'nicole', 'lorette', 'julia', 'julia']	['jennifer', 'jane', 'julia', 'jennifer', 'julia', 'julia', 'lisa', 'julia', 'jane', 'jane', 'julia', 'julia', 'sophia']
CB2015-55	15	298	julia	1	1	0	['oahsen', 'ktee', 'lorette', 'nicole', 'nicole', 'nicole', 'nicole', 'nicole', 'lorette', 'nicole', 'lorette', 'julia', 'julia', 'sophia', 'sophia']	['jennifer', 'jane', 'julia', 'jennifer', 'julia', 'julia', 'lisa', 'julia', 'jane', 'jane', 'julia', 'julia', 'sophia', 'julia', 'lisa']
CB2015-55	16	298	sophia	1	1	0	['oahsen', 'ktee', 'lorette', 'nicole', 'nicole', 'nicole', 'nicole', 'nicole', 'lorette', 'nicole', 'lorette', 'julia', 'julia', 'sophia', 'sophia', 'julia']	['jennifer', 'jane', 'julia', 'jennifer', 'julia', 'julia', 'lisa', 'julia', 'jane', 'jane', 'julia', 'julia', 'sophia', 'julia', 'lisa', 'jane']
CB2015-55	17	298	julia	1	1	0	['oahsen', 'ktee', 'lorette', 'nicole', 'nicole', 'nicole', 'nicole', 'nicole', 'lorette', 'nicole', 'lorette', 'julia', 'julia', 'sophia', 'sophia', 'julia', 'sophia']	['jennifer', 'jane', 'julia', 'jennifer', 'julia', 'julia', 'lisa', 'julia', 'jane', 'jane', 'julia', 'julia', 'sophia', 'julia', 'lisa', 'jane', 'jane']
